idCustomer,firstName,lastName,DOB,City,State
1332,Joseph,Grant,5/24/1970,New York City,New York
1711,SImone,Santos,7/19/1984,Dallas,Texas
1821,Brianna,Ramirez,10/29/1965,Atlanta,Georgia
1611,Clark,Brown,12/2/1983,Jacksonville,Florida
1277,Ron,Seib,3/4/1992,New Orleans,Louisiana
1961,Anderson,Dougas,2/2/1982,Nashville,Tennessee
1199,Louis,Fisher,3/15/1995,Chicago,Illinois
1659,Mathew,Gibson,4/7/1969,Tulsa,Oklahoma
1539,Robert,Burns,9/7/1985,Phoenix,Arizona
1508,Dainty,Davina,1/8/1990,San Diego,California
1649,Maurice,Mealy,8/11/1984,Seattle,Washington
1735,Bonny,Brioche,5/21/1993,Denver,Colorado
1889,Gabriel,Barnes,4/17/1976,Boston,Massachusetts
1428,Clayton,Mills,11/11/1987,Athens,Georgia
1452,Maria,Willis,10/5/1978,Charlotte,North Carolina
1580,Jack,Cooper,7/29/1978,Mobile,Alabama
1698,Daniel,Stephens,9/10/1991,Memphis,Tennessee
1905,Ellen,Baker,10/31/1979,Houston,Texas
1239,Olivia,Ruiz,2/3/1994,Savannah,Georgia
1240,Agelina,Hunter,5/15/1990,Tampa,Florida
